node_index,is_stop_only,pos_x,pos_y
0,False,4.1628173,51.8215233
1,False,4.128031,51.8217542
2,False,4.1339722,51.8222205
3,False,4.1470685,51.8225432
4,False,4.1483152,51.822679
5,False,4.1491341,51.8227877
6,False,4.128151,51.8230337
7,False,4.1289468,51.8229489
8,False,4.1463912,51.8229486
9,False,4.1499819,51.8229245
10,False,4.1509225,51.8230157
11,False,4.1464557,51.8231216
12,False,4.1273164,51.8231851
13,False,4.1457115,51.8232083
14,False,4.1459866,51.823329
15,False,4.1464,51.8234
16,False,4.1499398,51.823557
17,False,4.1533407,51.823359
18,False,4.1559749,51.82343
19,False,4.1561849,51.8234641
20,False,4.1346295,51.8235271
21,False,4.1405122,51.8236023
22,False,4.1440392,51.8236443
23,False,4.1466,51.8236
24,False,4.1480282,51.8236315
25,False,4.1491049,51.823386
26,False,4.1559,51.8236
27,False,4.1568921,51.8235389
28,False,4.1475157,51.8236909
29,False,4.1579,51.8237
30,False,4.133544,51.8238085
31,False,4.1516,51.8238
32,False,4.1568502,51.8237676
33,False,4.133347,51.8238647
34,False,4.1404922,51.8239282
35,False,4.1513443,51.8239066
36,False,4.157805,51.8239333
37,False,4.1389745,51.823986
38,False,4.1457293,51.8239859
39,False,4.147402,51.8239854
40,False,4.147667,51.8240121
41,False,4.1483618,51.8240187
42,False,4.1424556,51.8240894
43,False,4.1437198,51.8240325
44,False,4.1464,51.8241
45,False,4.1556774,51.8241393
46,False,4.1297373,51.8241918
47,False,4.1304571,51.8241424
48,False,4.1338291,51.8242156
49,False,4.1393443,51.8241948
50,False,4.1512551,51.8241734
51,False,4.1562,51.8242
52,False,4.1566606,51.8242749
53,False,4.1431536,51.8242703
54,False,4.1435141,51.8243308
55,False,4.1467863,51.8243017
56,False,4.1487201,51.8243915
57,False,4.1571455,51.8243392
58,False,4.1493854,51.8244717
59,False,4.1409315,51.8245119
60,False,4.1560759,51.8245381
61,False,4.1423435,51.8245595
62,False,4.1466611,51.8246251
63,False,4.1569197,51.8246108
64,False,4.1342299,51.8246853
65,False,4.156,51.8247189
66,False,4.140899,51.8248134
67,False,4.1491389,51.8247473
68,False,4.1568157,51.8248513
69,False,4.1397342,51.8249754
70,False,4.144679,51.8250327
71,False,4.1502322,51.8250122
72,False,4.1505176,51.8250518
73,False,4.1576953,51.8250155
74,False,4.174916,51.8250417
75,False,4.155776,51.825185
76,False,4.1389,51.8252
77,False,4.140511,51.8251646
78,False,4.1515671,51.8252008
79,False,4.1517845,51.8252282
80,False,4.1425301,51.8253871
81,False,4.1483633,51.8254414
82,False,4.1553757,51.8254925
83,False,4.1435964,51.8254091
84,False,4.1521591,51.8255352
85,False,4.1444694,51.8255729
86,False,4.1552447,51.8255801
87,False,4.1451452,51.8257048
88,False,4.1535173,51.8257194
89,False,4.1606962,51.8256834
90,False,4.1515347,51.8257733
91,False,4.1520359,51.8258365
92,False,4.1389041,51.8258649
93,False,4.1462906,51.8259128
94,False,4.1544,51.8259116
95,False,4.143317,51.8260167
96,False,4.1573672,51.8259888
97,False,4.1320604,51.8260544
98,False,4.1310673,51.8261673
99,False,4.1354109,51.8261983
100,False,4.1374233,51.82622
101,False,4.1395,51.8262
102,False,4.1443249,51.8261893
103,False,4.1494617,51.826347
104,False,4.1502266,51.8265334
105,False,4.1510636,51.8265349
106,False,4.1437952,51.8265547
107,False,4.1448667,51.8265218
108,False,4.1484086,51.8267205
109,False,4.1493387,51.8267366
110,False,4.142096,51.8267247
111,False,4.1501267,51.8268319
112,False,4.1517957,51.8269752
113,False,4.1588118,51.826822
114,False,4.1356267,51.8268238
115,False,4.149098,51.826851
116,False,4.1508331,51.8269449
117,False,4.1427698,51.8269901
118,False,4.1429678,51.8269938
119,False,4.1437591,51.8270048
120,False,4.141,51.8271
121,False,4.1423024,51.8270467
122,False,4.1407508,51.8271584
123,False,4.1408717,51.8271306
124,False,4.1445447,51.8271604
125,False,4.1481267,51.8273458
126,False,4.1510586,51.8271458
127,False,4.1524908,51.8271368
128,False,4.1618851,51.8273376
129,False,4.042874,51.8277254
130,False,4.1348899,51.8272599
131,False,4.1380093,51.8273414
132,False,4.1453163,51.8279647
133,False,4.1547892,51.827262
134,False,4.1552512,51.827324
135,False,4.1380624,51.8274157
136,False,4.1523862,51.8274456
137,False,4.1534623,51.827436
138,False,4.1211005,51.8274483
139,False,4.1377906,51.8274768
140,False,4.1410348,51.8273873
141,False,4.1443045,51.8274386
142,False,4.1489866,51.827516
143,False,4.15356,51.8275622
144,False,4.1403749,51.8275497
145,False,4.1449433,51.8274447
146,False,4.1498389,51.8275789
147,False,4.1523378,51.8275884
148,False,4.1650004,51.8276545
149,False,4.1480716,51.8278299
150,False,4.1506869,51.8276754
151,False,4.1413055,51.8277181
152,False,4.1440414,51.8277471
153,False,4.1522579,51.8278243
154,False,4.1540068,51.8278446
155,False,4.160951,51.8278062
156,False,4.1616987,51.8278634
157,False,4.1444166,51.8278132
158,False,4.160245,51.8279127
159,False,4.0427081,51.8274767
160,False,4.1241587,51.8279788
161,False,4.1433,51.828
162,False,4.1489995,51.827894
163,False,4.1230801,51.828065
164,False,4.1415226,51.8280918
165,False,4.1525926,51.8281162
166,False,4.1618,51.8281
167,False,4.1657549,51.8281501
168,False,4.1220303,51.8282108
169,False,4.1399744,51.8281444
170,False,4.1473174,51.8282274
171,False,4.1491617,51.8282414
172,False,4.1233382,51.8282445
173,False,4.1245307,51.8282388
174,False,4.1250696,51.8282436
175,False,4.1477,51.8283
176,False,4.1486339,51.8283269
177,False,4.1653443,51.8282801
178,False,4.1407185,51.8283496
179,False,4.1433989,51.8283679
180,False,4.1440976,51.828393
181,False,4.1645726,51.8284288
182,False,4.1487449,51.8286264
183,False,4.1531448,51.8284594
184,False,4.1540924,51.82847
185,False,4.1612322,51.8284942
186,False,4.1627027,51.8285622
187,False,4.1725203,51.8285777
188,False,4.1284138,51.8284018
189,False,4.1417113,51.8285312
190,False,4.1473116,51.8285783
191,False,4.1476396,51.8286112
192,False,4.1511677,51.8285707
193,False,4.1601638,51.8285403
194,False,4.163483,51.8286363
195,False,4.1645046,51.8286638
196,False,4.1220144,51.8287
197,False,4.1409,51.8287
198,False,4.1416,51.8287
199,False,4.1421336,51.8286791
200,False,4.1493848,51.8286924
201,False,4.1525,51.8287
202,False,4.1572791,51.8288136
203,False,4.1584267,51.8287662
204,False,4.1337622,51.8287727
205,False,4.1340877,51.8287714
206,False,4.1345047,51.8287773
207,False,4.1350865,51.8287903
208,False,4.1356515,51.8287896
209,False,4.1369188,51.8288067
210,False,4.1442398,51.8287737
211,False,4.1505448,51.828796
212,False,4.1533799,51.828776
213,False,4.1615786,51.8288759
214,False,4.166,51.8288
215,False,4.1422371,51.82885
216,False,4.1535722,51.8289253
217,False,4.1206607,51.8288147
218,False,4.1426396,51.8289349
219,False,4.158165,51.8290851
220,False,4.1206686,51.8290883
221,False,4.1212893,51.8290735
222,False,4.1220325,51.8290651
223,False,4.1233299,51.8290516
224,False,4.1244458,51.8290346
225,False,4.125532,51.8290149
226,False,4.1337384,51.8291008
227,False,4.1391806,51.8290248
228,False,4.1572,51.8291
229,False,4.1615077,51.8291428
230,False,4.1639783,51.8291181
231,False,4.1149315,51.8291562
232,False,4.1193364,51.829119
233,False,4.1359513,51.8291699
234,False,4.1364244,51.8292272
235,False,4.1371739,51.8291585
236,False,4.158539,51.8292536
237,False,4.1592459,51.8291431
238,False,4.1576784,51.8293474
239,False,4.1456951,51.8293836
240,False,4.1517979,51.8294348
241,False,4.1564154,51.829523
242,False,4.1577655,51.8293833
243,False,4.1357711,51.8295306
244,False,4.1673323,51.8295067
245,False,4.1573643,51.8296035
246,False,4.1588215,51.8296647
247,False,4.1357281,51.8296411
248,False,4.1369855,51.8296862
249,False,4.1373684,51.8296115
250,False,4.1585,51.8297622
251,False,4.1681042,51.8297368
252,False,4.1335363,51.8297204
253,False,4.1485878,51.8297809
254,False,4.1504373,51.8298647
255,False,4.1577913,51.8298266
256,False,4.1590794,51.829782
257,False,4.1631854,51.8297475
258,False,4.1310208,51.8299115
259,False,4.1485206,51.8299334
260,False,4.1561576,51.82998
261,False,4.161059,51.8299274
262,False,4.1645032,51.8299192
263,False,4.1651726,51.8299237
264,False,4.1666382,51.8299107
265,False,4.1687196,51.8299965
266,False,4.1304459,51.8299539
267,False,4.1338269,51.8299105
268,False,4.1481092,51.8301034
269,False,4.1491905,51.8300657
270,False,4.1347106,51.8300317
271,False,4.1660474,51.830168
272,False,4.1233685,51.8299127
273,False,4.135602,51.8301157
274,False,4.135733,51.8301384
275,False,4.1465888,51.830182
276,False,4.148049,51.8302539
277,False,4.1498032,51.8302542
278,False,4.1504353,51.8302449
279,False,4.1302159,51.8302814
280,False,4.1511021,51.8303086
281,False,4.1520185,51.8303495
282,False,4.1523987,51.8303541
283,False,4.155634,51.8303125
284,False,4.1599653,51.8303411
285,False,4.1656743,51.8303582
286,False,4.1356614,51.8303986
287,False,4.1377057,51.8302915
288,False,4.1380473,51.830305
289,False,4.1569689,51.830453
290,False,4.1671222,51.8303581
291,False,4.1216525,51.8305593
292,False,4.1551779,51.8305111
293,False,4.1562586,51.830547
294,False,4.1580252,51.8305604
295,False,4.1607722,51.8304982
296,False,4.1617848,51.830518
297,False,4.1224344,51.8306462
298,False,4.1623948,51.8306257
299,False,4.1269389,51.8306394
300,False,4.1618886,51.8307054
301,False,4.1628338,51.8307007
302,False,4.1673673,51.8307301
303,False,4.1197004,51.8307726
304,False,4.120514,51.8307523
305,False,4.1232,51.8308
306,False,4.1241,51.8308
307,False,4.1249098,51.8308348
308,False,4.1257281,51.8307652
309,False,4.1570668,51.8308609
310,False,4.1647529,51.8308375
311,False,4.1215868,51.8308287
312,False,4.1223594,51.8309103
313,False,4.1495593,51.8308722
314,False,4.1503083,51.8308701
315,False,4.1571566,51.8311049
316,False,4.166089,51.8310816
317,False,4.120476,51.8310532
318,False,4.137495,51.8310222
319,False,4.1380699,51.8310451
320,False,4.1501327,51.8310612
321,False,4.1594008,51.831101
322,False,4.1652252,51.8312234
323,False,4.1673716,51.8311001
324,False,4.1230849,51.8311386
325,False,4.1248034,51.8311672
326,False,4.1391232,51.8312015
327,False,4.1575058,51.8311757
328,False,4.1239515,51.8312466
329,False,4.1255694,51.8312578
330,False,4.150739,51.8312784
331,False,4.1603707,51.8312964
332,False,4.1214329,51.8313384
333,False,4.1481566,51.8313549
334,False,4.1546594,51.8313844
335,False,4.1582561,51.8313807
336,False,4.1617789,51.8314278
337,False,4.1637593,51.8314397
338,False,4.1222141,51.8314421
339,False,4.1271194,51.8314281
340,False,4.1389588,51.831528
341,False,4.167675,51.8314765
342,False,4.1272757,51.8315629
343,False,4.1556363,51.831618
344,False,4.1572083,51.8316529
345,False,4.1591014,51.8315774
346,False,4.1229485,51.8316787
347,False,4.1282459,51.8316336
348,False,4.1399906,51.8316738
349,False,4.1238073,51.8317474
350,False,4.1246473,51.8317421
351,False,4.1296227,51.8317283
352,False,4.1396446,51.8318174
353,False,4.1582705,51.83182
354,False,4.1640095,51.8318058
355,False,4.1254281,51.8318261
356,False,4.1305842,51.8318302
357,False,4.1598108,51.8319217
358,False,4.1599,51.8319
359,False,4.1267744,51.8319262
360,False,4.159235,51.8319546
361,False,4.162592,51.8320104
362,False,4.1281695,51.8320335
363,False,4.1284208,51.832054
364,False,4.1331829,51.8320505
365,False,4.1341277,51.8321005
366,False,4.1637559,51.8321446
367,False,4.1648819,51.8321367
368,False,4.1295567,51.8321194
369,False,4.1302658,51.8321747
370,False,4.1312549,51.8321256
371,False,4.1350693,51.8321788
372,False,4.145166,51.8321027
373,False,4.162209,51.8322062
374,False,4.1632099,51.8322468
375,False,4.1684321,51.8322691
376,False,4.1080259,51.8323438
377,False,4.1320709,51.8323212
378,False,4.1360023,51.8322464
379,False,4.1369946,51.832311
380,False,4.138932,51.8322569
381,False,4.1518238,51.8323028
382,False,4.1682202,51.8323177
383,False,4.0998628,51.8323642
384,False,4.1283594,51.832407
385,False,4.1564613,51.8323549
386,False,4.1675426,51.8322993
387,False,4.0975597,51.8325821
388,False,4.1079998,51.832478
389,False,4.1274017,51.8326042
390,False,4.1437729,51.8321463
391,False,4.1527066,51.8325083
392,False,4.153732,51.8325156
393,False,4.1642683,51.8325325
394,False,4.1278745,51.8325125
395,False,4.1340452,51.8325641
396,False,4.1636501,51.8326109
397,False,4.1665201,51.8325184
398,False,4.1079848,51.8326435
399,False,4.1662933,51.8326005
400,False,4.1301592,51.8327595
401,False,4.1321166,51.8327383
402,False,4.1330457,51.8328045
403,False,4.1353948,51.8327304
404,False,4.1581033,51.8328408
405,False,4.1631247,51.8328038
406,False,4.1729806,51.8327498
407,False,4.1366345,51.8328216
408,False,4.1583644,51.8328958
409,False,4.1675659,51.8328795
410,False,4.1201566,51.8330285
411,False,4.1301103,51.8329906
412,False,4.1537764,51.832977
413,False,4.1547933,51.8330104
414,False,4.1551409,51.8330016
415,False,4.1557946,51.8329727
416,False,4.1569269,51.8330047
417,False,4.1571177,51.8329569
418,False,4.1309046,51.8330434
419,False,4.1441849,51.8330329
420,False,4.1567266,51.8330546
421,False,4.1138927,51.8330749
422,False,4.1177764,51.8331715
423,False,4.1273043,51.8331171
424,False,4.127593,51.8331369
425,False,4.1282119,51.8331778
426,False,4.1405,51.8332
427,False,4.1541214,51.8331813
428,False,4.1201084,51.8332769
429,False,4.1339224,51.8332544
430,False,4.1342377,51.8332763
431,False,4.1517787,51.8332988
432,False,4.1532899,51.833247
433,False,4.1560126,51.8332554
434,False,4.1647486,51.833328
435,False,4.1199379,51.8333159
436,False,4.1354814,51.8333627
437,False,4.1357831,51.8333837
438,False,4.1394523,51.8333781
439,False,4.1428419,51.8333148
440,False,4.1340135,51.8334527
441,False,4.136654,51.8334442
442,False,4.1401114,51.8334191
443,False,4.1411705,51.8335
444,False,4.1536573,51.8334787
445,False,4.1681171,51.8334936
446,False,4.1199024,51.8334242
447,False,4.1377191,51.8335182
448,False,4.138399,51.8335654
449,False,4.1420741,51.8335736
450,False,4.1432413,51.8335247
451,False,4.1570644,51.8335305
452,False,4.1366203,51.8336486
453,False,4.1703396,51.8337685
454,False,4.1314216,51.8336866
455,False,4.1662097,51.833764
456,False,4.1339319,51.8338822
457,False,4.1411084,51.8338334
458,False,4.1420168,51.8338909
459,False,4.1473204,51.8339847
460,False,4.1591988,51.8340826
461,False,4.1182667,51.8340665
462,False,4.1398332,51.8340923
463,False,4.1573818,51.8341804
464,False,4.1587454,51.8340999
465,False,4.1237798,51.8341796
466,False,4.1297331,51.8342281
467,False,4.14807,51.8343314
468,False,4.1592811,51.834654
469,False,4.1651153,51.8342713
470,False,4.1696432,51.8342439
471,False,4.1246986,51.8342134
472,False,4.1405094,51.8342294
473,False,4.1410291,51.8342782
474,False,4.1575526,51.8343487
475,False,4.1382136,51.8344097
476,False,4.152738,51.8344072
477,False,4.1581428,51.8344118
478,False,4.1384376,51.8345782
479,False,4.138188,51.8346264
480,False,4.1584702,51.8346154
481,False,4.1555889,51.8348096
482,False,4.1560377,51.8348011
483,False,4.1581861,51.8347811
484,False,4.1279851,51.8348523
485,False,4.1288465,51.8349154
486,False,4.1464364,51.8349208
487,False,4.1576623,51.8348943
488,False,4.1652735,51.8348754
489,False,4.1664541,51.8348587
490,False,4.1671452,51.8348742
491,False,4.1273838,51.8350217
492,False,4.1292701,51.8349497
493,False,4.129576,51.8349729
494,False,4.1300877,51.8350131
495,False,4.1304264,51.835034
496,False,4.1406418,51.834981
497,False,4.1520663,51.8350184
498,False,4.1562854,51.8349516
499,False,4.1578187,51.8349954
500,False,4.1584336,51.8349446
501,False,4.160633,51.8350092
502,False,4.0968236,51.8350145
503,False,4.1278727,51.8350483
504,False,4.1308265,51.8350737
505,False,4.1436773,51.8351715
506,False,4.1572531,51.8351397
507,False,4.1142099,51.8351048
508,False,4.1553869,51.8351584
509,False,4.1580686,51.8351682
510,False,4.1611093,51.835217
511,False,4.1236561,51.8353268
512,False,4.1448759,51.8352901
513,False,4.1574071,51.8352355
514,False,4.1617958,51.835263
515,False,4.1180343,51.8353638
516,False,4.1245905,51.8354024
517,False,4.1576409,51.8354002
518,False,4.1605629,51.8354386
519,False,4.1652822,51.8353454
520,False,4.1254844,51.8354656
521,False,4.1570358,51.835452
522,False,4.1597981,51.8355
523,False,4.163911,51.8355349
524,False,4.1076533,51.8361993
525,False,4.1281986,51.8355546
526,False,4.1405156,51.8356252
527,False,4.1479817,51.8355254
528,False,4.1551241,51.8355955
529,False,4.1566961,51.8356501
530,False,4.1611495,51.8355509
531,False,4.1613163,51.8355463
532,False,4.1617668,51.8355964
533,False,4.1651547,51.8355768
534,False,4.166627,51.8356122
535,False,4.1291494,51.8356212
536,False,4.1572813,51.8356187
537,False,4.142373,51.8357653
538,False,4.1556831,51.8357566
539,False,4.0968729,51.8358964
540,False,4.1605657,51.8358977
541,False,4.1618068,51.8359306
542,False,4.162308,51.8359095
543,False,4.1636824,51.8359149
544,False,4.1651274,51.8359058
545,False,4.1661049,51.8359465
546,False,4.149582,51.8360296
547,False,4.1327318,51.8361542
548,False,4.1586165,51.8360718
549,False,4.1604321,51.8361235
550,False,4.1670343,51.8361199
551,False,4.148,51.8362
552,False,4.1545507,51.8361579
553,False,4.1654508,51.8361834
554,False,4.1262938,51.8362243
555,False,4.1516861,51.8363407
556,False,4.1568779,51.8362738
557,False,4.1314373,51.8363248
558,False,4.1430887,51.836352
559,False,4.1483384,51.8363127
560,False,4.1501155,51.8364051
561,False,4.0964692,51.8367054
562,False,4.128896,51.8363916
563,False,4.1306143,51.8365117
564,False,4.1308992,51.836455
565,False,4.1378885,51.8364856
566,False,4.1589679,51.8364668
567,False,4.1616674,51.836554
568,False,4.1645391,51.8364759
569,False,4.165444,51.8364845
570,False,4.166,51.8365
571,False,4.1235303,51.8365126
572,False,4.1467157,51.8365325
573,False,4.1490853,51.8365693
574,False,4.157621,51.8366415
575,False,4.1075983,51.836642
576,False,4.1244431,51.8365847
577,False,4.1253125,51.8366603
578,False,4.1298531,51.836661
579,False,4.1300744,51.8366161
580,False,4.1403093,51.8366786
581,False,4.1596461,51.8366524
582,False,4.160033,51.836755
583,False,4.1262021,51.8367277
584,False,4.1474898,51.8367748
585,False,4.1496021,51.8367255
